"Machine"           "Type"         "Role"
web-01      web       Web server - handles incoming HTTP requests
web-02      web       Web server - handles incoming HTTP requests
web-03      web       Web server - handles incoming HTTP requests
web-04      web       Web server - handles incoming HTTP requests
web-05      web       Web server - handles incoming HTTP requests
web-06      web       Web server - handles incoming HTTP requests
web-07      web       Web server - handles incoming HTTP requests
web-08      web       Web server - handles incoming HTTP requests
web-09      web       Web server - handles incoming HTTP requests
web-10      web       Web server - handles incoming HTTP requests
web-11      web       Web server - handles incoming HTTP requests
web-12      web       Web server - handles incoming HTTP requests
web-13      web       Web server - handles incoming HTTP requests
web-14      web       Web server - handles incoming HTTP requests
web-15      web       Web server - handles incoming HTTP requests
web-16      web       Web server - handles incoming HTTP requests
web-17      web       Web server - handles incoming HTTP requests
web-18      web       Web server - handles incoming HTTP requests
web-19      web       Web server - handles incoming HTTP requests
web-20      web       Web server - handles incoming HTTP requests
web-21      web       Web server - handles incoming HTTP requests
web-22      web       Web server - handles incoming HTTP requests
web-23      web       Web server - handles incoming HTTP requests
web-24      web       Web server - handles incoming HTTP requests
web-25      web       Web server - handles incoming HTTP requests
web-26      web       Web server - handles incoming HTTP requests
web-27      web       Web server - handles incoming HTTP requests
web-28      web       Web server - handles incoming HTTP requests
web-29      web       Web server - handles incoming HTTP requests
web-30      web       Web server - handles incoming HTTP requests
web-31      web       Web server - handles incoming HTTP requests
web-32      web       Web server - handles incoming HTTP requests
web-33      web       Web server - handles incoming HTTP requests
web-34      web       Web server - handles incoming HTTP requests
web-35      web       Web server - handles incoming HTTP requests
web-36      web       Web server - handles incoming HTTP requests
web-37      web       Web server - handles incoming HTTP requests
web-38      web       Web server - handles incoming HTTP requests
web-39      web       Web server - handles incoming HTTP requests
web-40      web       Web server - handles incoming HTTP requests
app-01      app       Application server - business logic, calls db/cache/queue
app-02      app       Application server - business logic, calls db/cache/queue
app-03      app       Application server - business logic, calls db/cache/queue
app-04      app       Application server - business logic, calls db/cache/queue
app-05      app       Application server - business logic, calls db/cache/queue
app-06      app       Application server - business logic, calls db/cache/queue
app-07      app       Application server - business logic, calls db/cache/queue
app-08      app       Application server - business logic, calls db/cache/queue
app-09      app       Application server - business logic, calls db/cache/queue
app-10      app       Application server - business logic, calls db/cache/queue
app-11      app       Application server - business logic, calls db/cache/queue
app-12      app       Application server - business logic, calls db/cache/queue
app-13      app       Application server - business logic, calls db/cache/queue
app-14      app       Application server - business logic, calls db/cache/queue
app-15      app       Application server - business logic, calls db/cache/queue
app-16      app       Application server - business logic, calls db/cache/queue
app-17      app       Application server - business logic, calls db/cache/queue
app-18      app       Application server - business logic, calls db/cache/queue
app-19      app       Application server - business logic, calls db/cache/queue
app-20      app       Application server - business logic, calls db/cache/queue
app-21      app       Application server - business logic, calls db/cache/queue
app-22      app       Application server - business logic, calls db/cache/queue
